Wave 	Occultation Pair 	    d_time       d_longitude  d_phase 	sigma_phase
                                    (days)         (deg)      (deg)        (deg)
W85.67 gamCru102i-gamCru081i      166.27162        42.9       213.2         1.3
W84.82 gamCru102i-gamCru081i      166.27183        43.3       138.3         4.0
W84.64 gamCru102i-gamCru081i      166.27187        43.4       132.4         5.1
W82.21 gamCru102i-gamCru081i      166.27250        44.9       315.7        15.7
W82.06 gamCru102i-gamCru081i      166.27254        45.0       133.7         7.1
W82.00 gamCru102i-gamCru081i      166.27255        45.0        37.0         2.9
W80.98 gamCru102i-gamCru081i      166.27282        45.6        18.5        14.0
W86.59 gamCru094i-gamCru071i      167.68426         7.9       157.3         0.5
W86.58 gamCru094i-gamCru071i      167.68426         7.9        42.0         5.0
W86.4o gamCru094i-gamCru071i      167.68428         8.0        20.6        12.0
W84.64 gamCru094i-gamCru071i      167.68457         8.1       221.6        10.8
W82.21 gamCru094i-gamCru071i      167.68496         8.4        69.3         3.8
W82.06 gamCru094i-gamCru071i      167.68498         8.4       232.5         5.8
W82.00 gamCru094i-gamCru071i      167.68499         8.5       111.6         6.6
W80.98 gamCru094i-gamCru071i      167.68515         8.6       203.9         6.0
W84.64 gamCru100i-betGru078i      168.06254       280.0        73.4         6.2
W84.82 gamCru100i-betGru078i      168.06278       280.8       332.9         4.9
W84.86 gamCru100i-betGru078i      168.06283       281.0       232.5         6.8
W85.67 gamCru100i-betGru078i      168.06335       283.7        58.5         0.4
W86.59 gamCru100i-betGru078i      168.06344       286.1        20.6         7.3
W86.59 gamCru100i-gamCru078i      168.60139        40.3       142.9        10.7
W86.4o gamCru100i-gamCru078i      168.60145        40.4        41.8         1.5
W86.4i gamCru100i-gamCru078i      168.60146        40.4       258.2         6.5
W85.67 gamCru100i-gamCru078i      168.60172        40.8       331.1         4.7
W84.86 gamCru100i-gamCru078i      168.60202        41.2       340.7         3.4
W84.82 gamCru100i-gamCru078i      168.60204        41.2        73.6        12.7
W84.64 gamCru100i-gamCru078i      168.60211        41.3       114.6         4.0
W82.21 gamCru100i-gamCru078i      168.60304        42.7        82.6         7.3
W82.06 gamCru100i-gamCru078i      168.60310        42.8       232.3         5.7
W82.00 gamCru100i-gamCru078i      168.60312        42.8       113.4        14.8
W80.98 gamCru100i-gamCru078i      168.60352        43.4       358.3         1.6
W87.19 gamCru096i-gamCru073i      168.84448         2.7       282.5         2.6
W86.59 gamCru096i-gamCru073i      168.84449         2.8       217.1         2.8
W84.82 gamCru096i-gamCru073i      168.84451         2.9        67.9        13.6
W84.64 gamCru096i-gamCru073i      168.84452         2.9       206.2         8.3
W83.63 gamCru096i-gamCru073i      168.84453         2.9       278.9         9.7
W82.21 gamCru096i-gamCru073i      168.84455         3.0       155.3         7.3
W82.06 gamCru096i-gamCru073i      168.84456         3.0       287.8         2.7
W82.00 gamCru096i-gamCru073i      168.84456         3.0       173.5         6.1
W87.19 RCas106i-RSCnc087e         170.15816       311.2       217.2        15.5
W86.58 RCas106i-RSCnc087e         170.16294       313.4        70.6        14.7
W85.67 RCas106i-RSCnc087e         170.17049       316.9       340.5         8.1
W84.82 RCas106i-RSCnc087e         170.17855       320.7       242.1         7.6
W84.64 RCas106i-RSCnc087e         170.18038       321.6       234.1         6.1
W84.64 RCas106i-RSCnc087i         170.22838       347.5       102.2         5.8
W84.82 RCas106i-RSCnc087i         170.22857       347.6       195.1         9.1
W86.58 RCas106i-RSCnc087i         170.22965       348.8         0.9        10.5
W86.59 RCas106i-RSCnc087i         170.22965       348.8       160.4         5.2
W87.19 RCas106i-RSCnc087i         170.22981       349.0        24.3         3.7
W86.4i gamCru102i-RSCnc080e       171.37165        90.3       132.6         5.0
W85.67 gamCru102i-RSCnc080e       171.37528        91.6       110.3         3.7
W84.86 gamCru102i-RSCnc080e       171.37946        93.2        47.4        13.5
W84.64 gamCru102i-RSCnc080e       171.38065        93.6       331.1         4.7
W82.21 gamCru102i-RSCnc080e       171.39428        99.1       192.4        15.3
W82.06 gamCru102i-RSCnc080e       171.39518        99.5       284.8         6.7
W82.00 gamCru102i-RSCnc080e       171.39549        99.6       173.2         4.3
W81.02 gamCru102i-RSCnc080e       171.40177       102.3       287.1         4.3
W80.98 gamCru102i-RSCnc080e       171.40202       102.4        65.5         8.0
W80.98 gamCru102i-RSCnc080i       171.45703       133.7       192.2         2.3
W81.02 gamCru102i-RSCnc080i       171.45713       133.8       357.0        10.8
W82.00 gamCru102i-RSCnc080i       171.45942       135.6       307.1         8.5
W82.06 gamCru102i-RSCnc080i       171.45952       135.7        63.8         6.0
W82.21 gamCru102i-RSCnc080i       171.45983       136.0       323.6        17.2
W84.64 gamCru102i-RSCnc080i       171.46366       139.4        96.6         7.0
W84.82 gamCru102i-RSCnc080i       171.46389       139.7        70.6         6.2
W85.67 gamCru102i-RSCnc080i       171.46487       140.6       263.5        18.8
W87.19 gamCru101i-gamCru079i      171.47603        41.6       335.6         2.1
W86.59 gamCru101i-gamCru079i      171.47617        41.9        87.2         0.8
W86.4i gamCru101i-gamCru079i      171.47622        42.0       110.2         4.6
W84.86 gamCru101i-gamCru079i      171.47660        42.8       350.3         5.8
W84.82 gamCru101i-gamCru079i      171.47661        42.8        79.8         3.0
W84.64 gamCru101i-gamCru079i      171.47666        42.9       194.1        17.5
W82.21 gamCru101i-gamCru079i      171.47730        44.4       283.2         3.4
W82.06 gamCru101i-gamCru079i      171.47734        44.5        30.9         1.4
W82.00 gamCru101i-gamCru079i      171.47736        44.5       242.2         2.7
W80.98 gamCru101i-gamCru079i      171.47764        45.1       341.4         3.3
W87.19 WHya180i-betPeg170e        174.49992        62.6        65.0        17.5
W86.59 WHya180i-betPeg170e        174.50234        63.1       106.6         0.9
W85.67 WHya180i-betPeg170e        174.50613        64.0        13.2        11.2
W84.86 WHya180i-betPeg170e        174.50953        64.7        64.3         5.6
W83.63 WHya180i-betPeg170e        174.51468        65.9        68.9        11.5
W82.21 WHya180i-betPeg170e        174.52067        67.3        95.8         2.0
W82.06 WHya180i-betPeg170e        174.52131        67.5       136.9         8.9
W87.19 gamCru100i-gamCru077i      175.64375        39.8       248.1         7.1
W86.59 gamCru100i-gamCru077i      175.64396        40.1       352.8         4.3
W86.4i gamCru100i-gamCru077i      175.64402        40.2        79.7         6.4
W85.67 gamCru100i-gamCru077i      175.64429        40.6        68.3         3.8
W84.64 gamCru100i-gamCru077i      175.64467        41.1       142.1         6.7
W82.21 gamCru100i-gamCru077i      175.64559        42.5       229.0         9.9
W82.06 gamCru100i-gamCru077i      175.64565        42.6       278.1         3.3
W82.00 gamCru100i-gamCru077i      175.64567        42.6       115.2         6.3
W80.98 gamCru100i-gamCru077i      175.64607        43.2         5.3         4.0
W85.67 WHya186e-lamVel173i        177.36507       149.5       285.7        11.1
W86.4i alpSco115i-gamCru102i      177.49737       298.7       236.3         5.6
W85.67 alpSco115i-gamCru102i      177.49866       298.1       211.8         6.0
W82.21 alpSco115i-gamCru102i      177.50491       295.1       342.0         8.9
W82.06 alpSco115i-gamCru102i      177.50518       295.0       359.1         1.1
W82.00 alpSco115i-gamCru102i      177.50528       294.9       213.0        11.3
W80.98 alpSco115i-gamCru102i      177.50714       294.0       186.8        12.0
W84.64 gamCru101i-betGru078i      177.63607       280.0        74.4         8.2
W84.82 gamCru101i-betGru078i      177.63631       280.8       149.3         3.9
W85.67 gamCru101i-betGru078i      177.63689       283.8       204.0         1.6
W86.59 gamCru101i-betGru078i      177.63697       286.1       247.7         4.3
W86.58 gamCru101i-betGru078i      177.63698       286.1       116.3         1.4
W87.19 gamCru101i-gamCru078i      178.17471        40.0       256.3         5.2
W86.59 gamCru101i-gamCru078i      178.17492        40.3        11.4         9.6
W86.4i gamCru101i-gamCru078i      178.17499        40.4        23.7         0.2
W85.67 gamCru101i-gamCru078i      178.17526        40.8       113.8         8.4
W84.82 gamCru101i-gamCru078i      178.17557        41.2       259.4         3.1
W84.64 gamCru101i-gamCru078i      178.17564        41.3       116.2         5.6
W82.06 gamCru101i-gamCru078i      178.17663        42.8        80.1         5.0
W82.00 gamCru101i-gamCru078i      178.17665        42.8       249.6        11.6
W80.98 gamCru101i-gamCru078i      178.17706        43.4       111.7         6.4
W85.67 RCas106i-gamCru086i        179.79577       260.5       284.6         9.3
W84.86 RCas106i-gamCru086i        179.79782       262.1        68.0         6.4
W82.21 RCas106i-gamCru086i        179.80719       269.0       232.8         6.1
W82.06 RCas106i-gamCru086i        179.80792       269.5       200.7         7.2
W82.00 RCas106i-gamCru086i        179.80818       269.7        28.0         1.7
W81.02 RCas106i-gamCru086i        179.81443       273.7       324.1         5.2
W80.98 RCas106i-gamCru086i        179.81474       273.9       280.7         2.9
W87.19 gamCru102i-gamCru079i      181.02667        41.2       187.1         1.3
W86.4i gamCru102i-gamCru079i      181.02685        41.7       278.1         9.1
W84.82 gamCru102i-gamCru079i      181.02723        42.5       313.8         4.7
W84.64 gamCru102i-gamCru079i      181.02727        42.6       286.6         6.1
W82.21 gamCru102i-gamCru079i      181.02789        44.0        54.1        18.7
W82.06 gamCru102i-gamCru079i      181.02793        44.1         5.2         1.3
W82.00 gamCru102i-gamCru079i      181.02795        44.1       206.2         2.2
W80.98 gamCru102i-gamCru079i      181.02822        44.8       304.7         2.5
W87.19 gamCru096i-gamCru071i      183.11159         1.8       251.7         5.6
W86.59 gamCru096i-gamCru071i      183.11159         1.8       202.3         5.9
W86.4o gamCru096i-gamCru071i      183.11159         1.9       309.1         7.1
W86.4i gamCru096i-gamCru071i      183.11159         1.9       161.8         8.7
W84.82 gamCru096i-gamCru071i      183.11160         1.9        35.2         8.5
W84.64 gamCru096i-gamCru071i      183.11161         1.9        32.0         4.2
W82.21 gamCru096i-gamCru071i      183.11162         2.0       259.4         7.4
W82.06 gamCru096i-gamCru071i      183.11163         2.0       187.2         3.8
W82.00 gamCru096i-gamCru071i      183.11163         2.0         7.4         5.2
W81.02 gamCru096i-gamCru071i      183.11163         2.1        85.5         7.6
W80.98 gamCru096i-gamCru071i      183.11163         2.1       328.3        20.0
W80.98 betPeg104i-gamCru082i      184.70210       164.7       117.5         7.0
W82.00 betPeg104i-gamCru082i      184.70278       165.0       130.8         6.3
W82.06 betPeg104i-gamCru082i      184.70281       165.0       300.0         3.4
W82.21 betPeg104i-gamCru082i      184.70291       165.0        40.1         5.5
W84.64 betPeg104i-gamCru082i      184.70456       165.6       163.5         5.0
W84.86 betPeg104i-gamCru082i      184.70472       165.6        46.9         5.9
W85.67 betPeg104i-gamCru082i      184.70528       165.8       247.6         7.1
W86.4i betPeg104i-gamCru082i      184.70578       166.0        13.3         9.7
W86.59 betPeg104i-gamCru082i      184.70591       166.0       271.3         5.0
W87.19 RCas106i-RSCnc085e         184.89287       308.5       323.8         4.7
W86.59 RCas106i-RSCnc085e         184.89719       310.4        88.3         5.8
W86.58 RCas106i-RSCnc085e         184.89734       310.5       345.8         5.3
W84.86 RCas106i-RSCnc085e         184.91117       316.9        51.8         2.7
W84.82 RCas106i-RSCnc085e         184.91156       317.1       111.4         6.5
W84.64 RCas106i-RSCnc085e         184.91318       317.9       111.0         8.9
W82.21 RCas106i-RSCnc085e         184.93996       331.1        55.9         2.2
W82.06 RCas106i-RSCnc085e         184.94218       332.2       319.2        10.2
W82.00 RCas106i-RSCnc085e         184.94296       332.6       113.6         6.0
W82.00 RCas106i-RSCnc085i         184.97347       349.5       352.3         1.5
W82.06 RCas106i-RSCnc085i         184.97355       349.6       202.7         7.1
W82.21 RCas106i-RSCnc085i         184.97377       349.8       297.6         6.3
W86.59 RCas106i-RSCnc085i         184.97418       351.5       348.8         6.3
W86.58 RCas106i-RSCnc085i         184.97419       351.5       321.2        19.9
W84.82 RCas106i-RSCnc085i         184.97450       351.2        47.1         3.1
W84.64 RCas106i-RSCnc085i         184.97451       351.1       283.6         5.1
W87.19 gamCru101i-gamCru077i      185.21729        39.8       356.2         2.1
W86.59 gamCru101i-gamCru077i      185.21749        40.1       219.3         1.9
W85.67 gamCru101i-gamCru077i      185.21782        40.6       214.3         2.2
W84.64 gamCru101i-gamCru077i      185.21820        41.1       144.7         6.8
W82.06 gamCru101i-gamCru077i      185.21919        42.6       128.5         7.3
W82.00 gamCru101i-gamCru077i      185.21921        42.6       249.2         5.3
W80.98 gamCru101i-gamCru077i      185.21961        43.2       114.6        12.0
W86.59 alpSco115i-gamCru101i      187.04767       298.6       180.3         3.4
W86.4o alpSco115i-gamCru101i      187.04795       298.4       267.4         7.6
W85.67 alpSco115i-gamCru101i      187.04928       297.8        45.1         4.1
W82.06 alpSco115i-gamCru101i      187.05577       294.6       332.7         2.3
W82.00 alpSco115i-gamCru101i      187.05586       294.6       168.8        14.8
W81.02 alpSco115i-gamCru101i      187.05765       293.6       198.1         9.7
W84.64 gamCru102i-betGru078i      187.18669       279.6       172.1         5.6
W84.82 gamCru102i-betGru078i      187.18693       280.5        21.5         6.2
W84.86 gamCru102i-betGru078i      187.18698       280.6       315.0        16.4
W85.67 gamCru102i-betGru078i      187.18751       283.4        21.0        16.2
W87.19 gamCru102i-gamCru078i      187.72535        39.7       114.6        18.0
W86.4o gamCru102i-gamCru078i      187.72561        40.1       340.2         6.8
W85.67 gamCru102i-gamCru078i      187.72588        40.5       306.0        10.4
W84.86 gamCru102i-gamCru078i      187.72617        40.9        55.4         6.2
W84.82 gamCru102i-gamCru078i      187.72619        40.9       118.4        13.5
W84.64 gamCru102i-gamCru078i      187.72626        41.0       212.9         6.2
W82.21 gamCru102i-gamCru078i      187.72717        42.4       160.7        10.5
W82.06 gamCru102i-gamCru078i      187.72722        42.5        55.8         3.3
W82.00 gamCru102i-gamCru078i      187.72724        42.5       207.8         8.1
W80.98 gamCru102i-gamCru078i      187.72764        43.1        75.8         5.9
W86.58 WHya181i-betPeg170e        187.80379        63.2        92.4         1.1
W85.67 WHya181i-betPeg170e        187.80750        64.0       112.4         8.4
W84.86 WHya181i-betPeg170e        187.81089        64.8       319.8        15.4
W84.82 WHya181i-betPeg170e        187.81108        64.8        55.0        13.4
W83.63 WHya181i-betPeg170e        187.81604        66.0        47.5         8.4
W82.21 WHya181i-betPeg170e        187.82204        67.4       166.8         3.9
W80.98 WHya181i-betPeg170e        187.82721        68.7       278.3        10.7
W82.00 muCep185e-betPeg172i       189.76631        93.4       105.6        12.5
W82.06 muCep185e-betPeg172i       189.76668        93.5       335.2         5.2
W82.21 muCep185e-betPeg172i       189.76777        93.7       107.3        12.5
W84.64 muCep185e-betPeg172i       189.78514        97.0       178.4         4.8
W84.82 muCep185e-betPeg172i       189.78641        97.3       114.1        12.9
W85.67 muCep185e-betPeg172i       189.79239        98.3       238.9         0.5
W86.4o muCep185e-betPeg172i       189.79758        99.3        50.2         4.5
W87.19 muCep185e-betPeg172i       189.80267       100.1       330.3         9.1
W85.67 RCas185i-betPeg172i        190.35754        17.2       248.8         1.9
W84.82 RCas185i-betPeg172i        190.35761        17.5       270.8         6.0
W82.21 RCas185i-betPeg172i        190.35796        18.5        76.9        14.4
W82.06 RCas185i-betPeg172i        190.35799        18.5       296.9         8.3
W80.98 RCas185i-betPeg172i        190.35819        18.9        85.6        12.5
W85.67 muCep191i-alpLyr175i       190.43999        21.7        95.4         4.0
W85.67 RCas191i-alpLyr175i        191.32845        28.0        72.5         2.1
W82.00 betPeg104i-gamCru081i      192.06138       164.5       322.1         2.7
W82.06 betPeg104i-gamCru081i      192.06141       164.5       176.5        10.2
W82.21 betPeg104i-gamCru081i      192.06151       164.6       359.2         1.2
W84.64 betPeg104i-gamCru081i      192.06315       165.1       164.5         4.7
W85.67 betPeg104i-gamCru081i      192.06386       165.4        10.9         1.7
W86.4i betPeg104i-gamCru081i      192.06436       165.5       104.4        12.3
W86.4o betPeg104i-gamCru081i      192.06438       165.5       303.5        16.5
W86.58 betPeg104i-gamCru081i      192.06448       165.6       133.7        11.5
Pd 4:2 betPeg104i-gamCru081i      192.06677       166.3       117.3        14.9
W85.67 RCar191i-alpLyr175i        194.31125       232.6       232.5         9.2
W87.19 gamCru102i-gamCru077i      194.76792        39.5       207.3        10.2
W86.59 gamCru102i-gamCru077i      194.76812        39.8       185.5        12.3
W86.4o gamCru102i-gamCru077i      194.76818        39.9        70.0         3.0
W85.67 gamCru102i-gamCru077i      194.76845        40.2        53.5         4.6
W84.64 gamCru102i-gamCru077i      194.76882        40.8       249.2         9.6
W82.21 gamCru102i-gamCru077i      194.76972        42.1       342.0         7.4
W82.06 gamCru102i-gamCru077i      194.76978        42.2       104.5         5.6
W82.00 gamCru102i-gamCru077i      194.76980        42.3       212.4         2.5
W80.98 gamCru102i-gamCru077i      194.77019        42.9        80.0         9.9
W86.59 alpSco115i-gamCru100i      196.62120       298.6        48.8         2.0
W86.4i alpSco115i-gamCru100i      196.62154       298.4       202.5         4.9
W85.67 alpSco115i-gamCru100i      196.62282       297.8       190.7         5.1
W82.21 alpSco115i-gamCru100i      196.62904       294.8        81.2        11.6
W82.06 alpSco115i-gamCru100i      196.62931       294.6       177.7        11.2
W82.00 alpSco115i-gamCru100i      196.62940       294.6       306.2        18.4
W80.98 alpSco115i-gamCru100i      196.63125       293.6       254.9        11.0
W86.59 betPeg104i-RSCnc080e       197.16381       213.2       124.5         1.1
W86.58 betPeg104i-RSCnc080e       197.16389       213.2       172.4        19.9
W86.4o betPeg104i-RSCnc080e       197.16444       213.3       357.8         2.7
W86.4i betPeg104i-RSCnc080e       197.16456       213.4        87.5         4.9
W85.67 betPeg104i-RSCnc080e       197.16752       214.1       228.8         0.9
W84.86 betPeg104i-RSCnc080e       197.17095       215.1        42.6         4.7
W84.64 betPeg104i-RSCnc080e       197.17193       215.3         2.3         1.3
W82.21 betPeg104i-RSCnc080e       197.18329       218.8       229.8         5.5
W82.06 betPeg104i-RSCnc080e       197.18406       219.0       328.1         9.3
W82.00 betPeg104i-RSCnc080e       197.18432       219.1        96.9         7.3
W80.98 betPeg104i-RSCnc080e       197.18989       221.1       247.9        16.3
W80.98 betPeg104i-RSCnc080i       197.24490       252.3        14.1        10.7
W82.00 betPeg104i-RSCnc080i       197.24825       255.2       230.8        11.9
W82.06 betPeg104i-RSCnc080i       197.24840       255.3       108.1         8.6
W82.21 betPeg104i-RSCnc080i       197.24884       255.7         5.6         2.2
W84.64 betPeg104i-RSCnc080i       197.25494       261.1       129.4         6.0
W86.4i betPeg104i-RSCnc080i       197.25851       264.5        92.5        19.7
W86.4o betPeg104i-RSCnc080i       197.25857       264.5       284.8        14.8
W80.98 WHya186e-betPeg172i        202.96993       346.1        93.3        10.8
W82.06 WHya186e-betPeg172i        202.97421       346.2        25.5         2.0
W86.4i WHya186e-betPeg172i        202.99153       346.8       335.8         6.2
W86.59 gamCru100i-gamCru073i      203.79368        39.1       225.0         2.7
W86.4o gamCru100i-gamCru073i      203.79373        39.2       179.8         3.5
W84.82 gamCru100i-gamCru073i      203.79429        40.0       254.3        13.4
W84.64 gamCru100i-gamCru073i      203.79436        40.1       181.0        11.7
W82.21 gamCru100i-gamCru073i      203.79524        41.4       295.4         9.9
W82.06 gamCru100i-gamCru073i      203.79530        41.5       286.8         3.0
W82.00 gamCru100i-gamCru073i      203.79532        41.6       354.4         6.3
W80.98 gamCru100i-gamCru073i      203.79571        42.1       241.0        16.1
W80.98 betPeg104i-gamCru079i      206.81610       163.4       130.8         4.6
W82.00 betPeg104i-gamCru079i      206.81678       163.7       133.0         5.0
W82.06 betPeg104i-gamCru079i      206.81681       163.7        54.6         3.8
W82.21 betPeg104i-gamCru079i      206.81691       163.7        81.8         8.9
W84.64 betPeg104i-gamCru079i      206.81855       164.3       319.9         6.9
W86.4i betPeg104i-gamCru079i      206.81976       164.7       227.8         9.3
Pd 4:2 RCas106i-gamCru082i        209.27321       252.5       300.9        17.0
W87.19 RCas106i-gamCru082i        209.27780       256.8       181.4        18.7
W86.59 RCas106i-gamCru082i        209.27899       257.8       304.9         0.7
W84.86 RCas106i-gamCru082i        209.28309       261.2       156.4         6.3
W84.82 RCas106i-gamCru082i        209.28321       261.2       190.2         1.9
W84.64 RCas106i-gamCru082i        209.28371       261.6       357.2        12.7
W82.21 RCas106i-gamCru082i        209.29244       268.0       177.5         7.6
W82.06 RCas106i-gamCru082i        209.29318       268.5        85.1         5.3
W82.00 RCas106i-gamCru082i        209.29344       268.7       123.7         4.6
W81.02 RCas106i-gamCru082i        209.29969       272.7        66.3         1.1
W80.98 RCas106i-gamCru082i        209.30000       272.8       297.5         3.8
W80.98 gamCru187i-betPeg172i      211.79693       199.5       279.6         4.7
W81.02 gamCru187i-betPeg172i      211.79695       199.5       246.1        15.0
W82.00 gamCru187i-betPeg172i      211.79749       198.9       144.6         5.6
W82.06 gamCru187i-betPeg172i      211.79752       198.9       123.1         9.9
W82.21 gamCru187i-betPeg172i      211.79761       198.8       227.3         2.0
W83.63 gamCru187i-betPeg172i      211.79847       198.1       264.5        11.2
W84.64 gamCru187i-betPeg172i      211.79911       197.6       202.8         5.8
W84.64 Whya189i-betPeg172i        211.79911       197.6       183.5         4.6
W84.82 gamCru187i-betPeg172i      211.79923       197.5       118.8         7.9
W87.19 gamCru187i-betPeg172i      211.80085       196.4        13.7         5.2
W80.98 gamCru187e-betPeg172i      211.92109       273.1        84.2        10.9
W82.00 gamCru187e-betPeg172i      211.92603       274.4        52.4         6.5
W82.06 gamCru187e-betPeg172i      211.92627       274.5        29.4         3.9
W82.21 gamCru187e-betPeg172i      211.92699       274.7       128.3         6.8
W83.63 gamCru187e-betPeg172i      211.93380       276.5       218.4        17.4
W84.64 gamCru187e-betPeg172i      211.93855       277.7       196.1         4.3
W84.64 Whya189e-betPeg172i        211.93855       277.7       196.1         4.3
W84.82 gamCru187e-betPeg172i      211.93940       277.9       347.3         8.2
W87.19 gamCru187e-betPeg172i      211.95040       280.5       345.3        10.2
W84.64 betPeg104i-betGru078i      212.97797        41.3       205.1         5.9
W84.86 betPeg104i-betGru078i      212.97847        42.5       304.4         6.1
W85.67 betPeg104i-betGru078i      212.97976        45.9       165.7         1.9
W87.19 gamCru101i-gamCru073i      213.36702        38.8       285.5         2.2
W86.59 gamCru101i-gamCru073i      213.36721        39.1        92.0         4.8
W86.58 gamCru101i-gamCru073i      213.36722        39.1       281.1         8.3
W84.82 gamCru101i-gamCru073i      213.36783        40.0        82.2         9.1
W84.64 gamCru101i-gamCru073i      213.36789        40.1       180.7        11.7
W82.21 gamCru101i-gamCru073i      213.36878        41.4       256.7         4.6
W82.06 gamCru101i-gamCru073i      213.36884        41.5       136.3         6.8
W82.00 gamCru101i-gamCru073i      213.36885        41.6       127.7         4.8
W80.98 betPeg104i-gamCru078i      213.51551       161.7       253.3         2.8
W82.00 betPeg104i-gamCru078i      213.51607       162.0       136.1         4.3
W82.06 betPeg104i-gamCru078i      213.51610       162.0       101.6         4.6
W82.21 betPeg104i-gamCru078i      213.51618       162.1       205.6         3.2
W84.64 betPeg104i-gamCru078i      213.51753       162.7       246.0         5.6
W84.86 betPeg104i-gamCru078i      213.51766       162.8        54.2         1.7
W85.67 betPeg104i-gamCru078i      213.51812       163.0        72.8         1.3
W86.4i betPeg104i-gamCru078i      213.51854       163.2       136.7         9.9
W86.4o betPeg104i-gamCru078i      213.51855       163.2        50.0        13.2
W86.58 betPeg104i-gamCru078i      213.51863       163.2       223.0        18.8
W85.67 muCep193i-alpLyr175i       214.36029        21.8       269.0         9.6
W87.19 RCas106i-gamCru081i        216.63637       256.3       270.9         3.0
W86.59 RCas106i-gamCru081i        216.63757       257.4        40.6        12.0
W86.58 RCas106i-gamCru081i        216.63761       257.4       301.5        19.8
W86.4i RCas106i-gamCru081i        216.63797       257.7       143.8         8.3
W85.67 RCas106i-gamCru081i        216.63961       259.1        34.0         6.6
W84.82 RCas106i-gamCru081i        216.64179       260.8       141.5         0.6
W84.64 RCas106i-gamCru081i        216.64229       261.2       343.0         4.0
W82.21 RCas106i-gamCru081i        216.65104       267.6       140.4         4.5
W82.06 RCas106i-gamCru081i        216.65178       268.0       309.3         4.7
W82.00 RCas106i-gamCru081i        216.65204       268.2       321.1         5.2
W80.98 RCas106i-gamCru081i        216.65860       272.4        25.3        18.9
W86.59 gamCru100i-gamCru071i      218.06078        38.2       209.8         0.6
W86.58 gamCru100i-gamCru071i      218.06079        38.2        65.8         9.5
W86.4o gamCru100i-gamCru071i      218.06084        38.2        72.8         7.0
W86.4i gamCru100i-gamCru071i      218.06085        38.3       277.1         4.5
W85.67 gamCru100i-gamCru071i      218.06109        38.6       339.9        18.6
W84.86 gamCru100i-gamCru071i      218.06137        39.0       249.0         2.3
W84.82 gamCru100i-gamCru071i      218.06138        39.1       223.6         9.9
W84.64 gamCru100i-gamCru071i      218.06145        39.2         2.2         1.9
W82.21 gamCru100i-gamCru071i      218.06231        40.5        24.3         1.1
W82.06 gamCru100i-gamCru071i      218.06237        40.6       190.5         5.4
W82.00 gamCru100i-gamCru071i      218.06239        40.6       185.9         3.9
W80.98 gamCru100i-gamCru071i      218.06277        41.2       205.1         3.4
W80.98 betPeg104i-gamCru077i      220.55806       161.5       265.2         5.6
W82.00 betPeg104i-gamCru077i      220.55862       161.8       138.9         1.8
W82.06 betPeg104i-gamCru077i      220.55865       161.8       149.0         6.9
W82.21 betPeg104i-gamCru077i      220.55874       161.8         9.8         3.4
W84.64 betPeg104i-gamCru077i      220.56010       162.5       279.0         6.3
W85.67 betPeg104i-gamCru077i      220.56069       162.8       181.5         8.2
Mi 6:2 RCas106i-RSCnc080e         221.71645       296.2       307.7        16.6
W86.59 RCas106i-RSCnc080e         221.73689       305.0        71.9         5.0
W86.58 RCas106i-RSCnc080e         221.73702       305.0       320.1         9.1
W84.86 RCas106i-RSCnc080e         221.74932       310.6       149.3         4.4
W84.64 RCas106i-RSCnc080e         221.75108       311.4       183.2         9.6
W82.21 RCas106i-RSCnc080e         221.77282       321.8        10.4         0.9
W82.06 RCas106i-RSCnc080e         221.77443       322.6       107.5         4.0
W82.00 RCas106i-RSCnc080e         221.77498       322.8        95.9         1.6
W80.98 RCas106i-RSCnc080e         221.78779       329.2        70.7         9.9
W86.59 RCas106i-RSCnc080i         221.83194       356.6        63.3         6.2
W86.58 RCas106i-RSCnc080i         221.83196       356.6       188.8        17.7
W86.4o RCas106i-RSCnc080i         221.83210       356.6       293.2         8.7
W86.4i RCas106i-RSCnc080i         221.83212       356.6        93.0         1.5
W84.82 RCas106i-RSCnc080i         221.83385       357.1        79.1         5.0
W84.64 RCas106i-RSCnc080i         221.83408       357.2       303.7         3.6
W82.21 RCas106i-RSCnc080i         221.83837       358.7       147.2         4.9
W82.06 RCas106i-RSCnc080i         221.83877       358.8       240.0         6.9
W82.00 RCas106i-RSCnc080i         221.83891       358.9       226.9         6.8
W80.98 RCas106i-RSCnc080i         221.84280         0.5       198.2         5.3
W85.67 muCep191i-lamVel173i       222.48169       141.8       115.3         6.1
W87.19 gamCru102i-gamCru073i      222.91765        38.5       132.8         2.3
W86.59 gamCru102i-gamCru073i      222.91785        38.8        47.7         2.5
W85.67 gamCru102i-gamCru073i      222.91815        39.2        28.0         3.3
W84.86 gamCru102i-gamCru073i      222.91843        39.7       299.8         8.8
W84.82 gamCru102i-gamCru073i      222.91845        39.7       301.0        13.8
W84.64 gamCru102i-gamCru073i      222.91851        39.8       277.6         3.0
W82.21 gamCru102i-gamCru073i      222.91937        41.1        31.3        10.5
W82.06 gamCru102i-gamCru073i      222.91943        41.2       112.4         4.8
W82.00 gamCru102i-gamCru073i      222.91944        41.2        91.3         4.3
W85.67 RCas191i-lamVel173i        223.37015       148.1        80.8         8.0
W85.67 RCar191i-lamVel173i        226.35295       352.8       254.8        18.9
W85.67 RCas194e-alpLyr175i        227.53414       176.9        78.1         1.9
W87.19 gamCru101i-gamCru071i      227.63413        37.9       253.2         6.7
