Wave 	Occultation Pair 	    d_time       d_longitude  d_phase 	sigma_phase
                                    (days)         (deg)      (deg)        (deg)
W84.86 WHya181i-WHya180i          13.30137         0.1       244.9        12.9
W84.64 WHya181i-WHya180i          13.30137         0.1       198.6         1.3
W83.63 WHya181i-WHya180i          13.30137         0.1       338.1         3.9
W82.21 WHya181i-WHya180i          13.30137         0.1        71.4         3.8
W86.4o WHya180i-WHya179i          13.30336         0.5        87.3         1.3
W85.67 WHya180i-WHya179i          13.30337         0.5        41.8         3.7
W84.86 WHya180i-WHya179i          13.30338         0.5       232.0        16.8
W84.82 WHya180i-WHya179i          13.30338         0.5       220.8         6.3
W82.21 WHya180i-WHya179i          13.30342         0.5        78.7         1.8
W82.06 WHya180i-WHya179i          13.30342         0.5       219.7         4.7
W87.19 gamCru079i-gamCru077i       13.74125       358.2        17.7         1.3
W86.59 gamCru079i-gamCru077i       13.74132       358.2       133.3         2.4
W86.4o gamCru079i-gamCru077i       13.74134       358.2        12.2         3.5
W86.4i gamCru079i-gamCru077i       13.74134       358.2        83.9         1.4
W85.67 gamCru079i-gamCru077i       13.74142       358.2        64.7         3.4
W84.64 gamCru079i-gamCru077i       13.74154       358.2       323.2        11.0
W82.21 gamCru079i-gamCru077i       13.74183       358.1       280.8         9.2
W82.06 gamCru079i-gamCru077i       13.74184       358.1        98.8         6.7
W82.00 gamCru079i-gamCru077i       13.74185       358.1         4.8         2.4
W80.98 gamCru079i-gamCru077i       13.74197       358.1       130.5         8.9
W82.00 gamCru073i-gamCru071i       14.26707       359.0       192.9         8.7
W82.06 gamCru073i-gamCru071i       14.26707       359.0       261.3         5.7
W82.21 gamCru073i-gamCru071i       14.26707       359.0        88.9        11.9
W84.64 gamCru073i-gamCru071i       14.26709       359.1       181.5        13.5
W84.82 gamCru073i-gamCru071i       14.26709       359.1       330.0         3.9
W84.86 gamCru073i-gamCru071i       14.26709       359.1       353.1         5.6
W86.4i gamCru073i-gamCru071i       14.26710       359.1       233.4        15.0
W86.4o gamCru073i-gamCru071i       14.26710       359.1       253.3         4.7
W86.58 gamCru073i-gamCru071i       14.26710       359.1       342.4         9.3
W86.59 gamCru073i-gamCru071i       14.26710       359.1       345.4         2.9
W87.19 gamCru073i-gamCru071i       14.26711       359.1       321.9         4.1
Mi 6:2 gamCru073i-gamCru071i       14.26713       359.1        32.3         9.3
W87.19 RSCnc087i-RSCnc085e         14.66306       319.4       296.3         2.1
W86.4i RSCnc087i-RSCnc085e         14.66904       322.4       309.8        11.3
W85.67 RSCnc087i-RSCnc085e         14.67506       325.4       257.7        17.9
W84.82 RSCnc087i-RSCnc085e         14.68299       329.4       274.1         4.8
W84.64 RSCnc087i-RSCnc085e         14.68481       330.4         9.3         5.2
W83.63 RSCnc087i-RSCnc085e         14.69625       336.4        87.1         8.4
W83.63 RSCnc087e-RSCnc085e         14.73103       355.3       134.2         8.6
W84.64 RSCnc087e-RSCnc085e         14.73280       356.2       229.8         4.6
W84.82 RSCnc087e-RSCnc085e         14.73302       356.4       226.5         4.2
W85.67 RSCnc087e-RSCnc085e         14.73381       356.8       172.2         1.2
W86.4i RSCnc087e-RSCnc085e         14.73430       357.1       180.1         6.8
