Title: Saturn's G and D rings provide nearly complete measured scattering/phase 
       functions of nearby debris disks  
Authors: Hedman M.M., Stark C.C. 
Table: Normal Equivalent Width estimates for D68 derived from entire images, 
       almost all of which were obtained at scattering angles above 15 deg
================================================================================
Byte-by-byte Description of file: apj519262t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label    Explanations
--------------------------------------------------------------------------------
   1- 11 A11    ---   Image    Image Name
  13- 28 F16.6  s     ET       Ephemeris Time; seconds past J2000 epoch
  30- 35 F6.2   deg   {theta}  Scattering angle at the ring
  37- 42 F6.2   deg   B        Opening angle of the ring to the spacecraft
  44- 48 F5.2   m     NEW-INT  Normal equivalent width; Integrated Method
  50- 53 F4.2   m     NEW-FIT  Normal equivalent width; Fit Method
--------------------------------------------------------------------------------
N1761046057 435623524.080661  41.97 -41.10  0.97 1.01 
N1761045213 435622680.086021  42.04 -41.13  0.98 1.15 
N1761044369 435621836.091381  42.11 -41.17  0.89 1.10 
N1761043525 435620992.096742  42.18 -41.20  1.13 0.84 
N1761042681 435620148.102102  42.25 -41.24  0.71 0.78 
N1761041837 435619304.107462  42.33 -41.27  0.82 0.90 
N1729214667 403792336.225168  42.33  13.18  1.25 1.19 
N1761040993 435618460.112822  42.40 -41.31  0.44 0.76 
N1761040149 435617616.118182  42.47 -41.34  0.97 1.01 
N1761039305 435616772.123543  42.54 -41.38 -0.35 0.84 
N1729214917 403792586.207955  42.61  13.36  1.23 1.18 
N1761038461 435615928.128903  42.62 -41.41  1.05 1.23 
N1761037617 435615084.134263  42.69 -41.45  1.17 1.29 
N1761036773 435614240.139623  42.76 -41.49  1.16 1.06 
N1761035929 435613396.160608  42.83 -41.52  1.10 1.02 
N1729215167 403792836.206367  42.89  13.53  1.18 1.16 
N1729215417 403793086.204779  43.16  13.71  1.20 1.13 
N1729215667 403793336.203192  43.44  13.88  1.22 1.12 
N1729215917 403793586.201604  43.72  14.06  1.20 1.12 
N1729216167 403793836.200016  44.00  14.24  1.19 1.11 
N1729216417 403794086.198428  44.28  14.41  1.29 1.16 
N1729216667 403794336.196841  44.56  14.59  1.17 1.09 
N1729216917 403794586.195253  44.84  14.76  1.20 1.08 
N1729217167 403794836.193665  45.12  14.95  1.18 1.09 
N1729217417 403795086.192077  45.40  15.13  1.19 1.10 
N1729217787 403795456.205352  45.82  15.39  1.07 1.15 
N1546070390 220649234.312554  48.13 -16.60  0.69 0.70 
N1546070460 220649359.316016  48.17 -16.63  0.70 0.69 
N1546071621 220650465.289112  48.32 -16.64  0.68 0.75 
N1546071691 220650590.296479  48.36 -16.68  0.74 0.70 
N1543923838 218502753.638643  50.36  52.13  0.53 0.65 
N1543923776 218502684.935131  50.38  52.13  0.60 0.62 
N1543924022 218502937.625755  50.56  52.29  0.59 0.60 
N1543923960 218502868.918337  50.58  52.30  0.56 0.60 
N1554726089 229304897.488867  50.81 -23.42  0.00 0.69 
N1729223727 403801396.167627  52.79  19.66  0.78 0.71 
N1629547130 304125461.496166  54.77   8.25  0.54 0.80 
N1629547070 304125401.276593  54.78   8.26  0.43 0.77 
N1629547010 304125341.087020  54.78   8.26  0.46 0.80 
N1629546950 304125280.937447  54.78   8.26  1.03 0.77 
N1629546050 304124381.503852  54.82   8.27  0.50 0.83 
N1629545990 304124321.284279  54.82   8.27  0.54 0.77 
N1629545930 304124261.094706  54.82   8.27  1.21 0.84 
N1629545870 304124200.945133  54.83   8.27  0.88 0.83 
N1629528380 304106711.629613  55.56   8.51  0.46 0.81 
N1629528320 304106651.410039  55.56   8.51  0.78 0.86 
N1629528260 304106591.220467  55.56   8.52  0.76 0.83 
N1629528200 304106531.070894  55.56   8.52  0.73 0.86 
N1629527300 304105631.637299  55.60   8.53  0.56 0.80 
N1629527240 304105571.417726  55.60   8.53  0.83 0.79 
N1629527180 304105511.228153  55.60   8.53  0.94 0.79 
N1629527120 304105451.078580  55.61   8.53  0.91 0.76 
N1629509630 304087961.723060  56.31   8.77  0.65 0.77 
N1629509570 304087901.543487  56.32   8.77  0.72 0.81 
N1629509510 304087841.353914  56.32   8.77  0.53 0.78 
N1629509454 304087785.054312  56.32   8.77  0.73 0.85 
N1629442640 304020972.199839  58.96   9.64  0.85 0.66 
N1629442580 304020912.090266  58.96   9.64  0.01 0.74 
N1629442520 304020851.930693  58.97   9.64  0.69 0.68 
N1629442460 304020791.681120  58.97   9.64  0.72 0.61 
N1629442400 304020731.431547  58.97   9.64  0.92 0.64 
N1629442347 304020678.131924  58.97   9.64  0.11 0.63 
N1629423890 304002222.333286  59.68   9.87  0.22 0.67 
N1629423830 304002162.223713  59.69   9.87  0.68 0.70 
